Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
HCA,"Hca Holdings Inc",224.08,1.58,+0.71%,224.73,219.74,1333600,2022-11-11
HD,"Home Depot",314.94,3.24,+1.04%,317.68,310.24,4945300,2022-11-11
HES,"Hess Corp",145.58,5.74,+4.10%,146.54,141.53,2308300,2022-11-11
HIG,"Hartford Financial Services Group",73.63,-0.67,-0.90%,75.1,73.25,1988800,2022-11-11
HII,"Huntington Ingalls Industries",227.58,-16.59,-6.79%,238,224.94,790300,2022-11-11
HLT,"Hilton Inc",140.63,4.01,+2.94%,142.42,137.76,2808200,2022-11-11
HOLX,"Hologic Inc",75.93,0.93,+1.24%,76.15,74.74,1521000,2022-11-11
HON,"Honeywell International Inc",212.73,-2.07,-0.96%,214.96,211.45,4226700,2022-11-11
HPE,"Hewlett Packard Enterprise Comp",15.29,0.42,+2.82%,15.34,14.9,13755900,2022-11-11
HPQ,"Hp Inc",30.55,1.25,+4.27%,30.685,29.29,11423200,2022-11-11
HRL,"Hormel Foods Corp",47.4,-0.18,-0.38%,47.63,45.98,1813700,2022-11-11
HSIC,"Henry Schein Inc",78.63,1.31,+1.69%,79.61,77.01,1004800,2022-11-11
HST,"Host Marriott Financial Trust",18.56,0.43,+2.37%,18.74,18.3,6341800,2022-11-11
HSY,"Hershey Foods Corp",218.88,-7.42,-3.28%,226.21,211.49,2677600,2022-11-11
HUM,"Humana Inc",528.53,-29.77,-5.33%,558.35,517.0001,2193100,2022-11-11
HWM,"Howmet Aerospace Inc",37.43,-0.87,-2.27%,39.24,37.375,3631900,2022-11-11
IBM,"International Business Machines",143.17,1.94,+1.37%,144.13,140.96,5871200,2022-11-11
ICE,"Intercontinental Exchange",104.32,1.78,+1.74%,104.64,102.02,2450500,2022-11-11
IDXX,"Idexx Laboratories",441.27,25.21,+6.06%,442.2,416.7,872900,2022-11-11
IEX,"Idex Corp",230.08,-2.88,-1.24%,234.62,228.355,431400,2022-11-11
IFF,"International Flavors & Fragrances",100.54,4.48,+4.66%,101,96.14,2152200,2022-11-11
ILMN,"Illumina Inc",242.74,2.65,+1.10%,248.87,236.57,1311700,2022-11-11
INCY,"Incyte Corp",77.53,-0.25,-0.32%,77.77,75.46,1211800,2022-11-11
INTC,"Intel Corp",30.43,0.67,+2.25%,30.63,28.87,49826500,2022-11-11
INTU,"Intuit Inc",408.04,4.8,+1.19%,411.93,398.64,1720100,2022-11-11
INVH,"Invitation Homes Inc",31.98,-0.31,-0.96%,32.62,31.915,3549400,2022-11-11
IP,"International Paper Company",36.63,1.49,+4.24%,36.865,35.19,5185500,2022-11-11
IPG,"Interpublic Group of Companies",32.49,1.42,+4.57%,32.575,31.15,3921900,2022-11-11
IQV,"Iqvia Holdings Inc",226.53,3.95,+1.77%,228.98,222.45,1011000,2022-11-11
IR,"Ingersoll Rand Inc",55.31,1.43,+2.65%,55.73,53.785,6675600,2022-11-11
IRM,"Iron Mountain Inc",52.87,0.3,+0.57%,53.375,52.05,1584300,2022-11-11
ISRG,"Intuitive Surg Inc",265.08,7.22,+2.80%,267.67,255.74,3188300,2022-11-11
IT,"Gartner Inc",335.26,-5.64,-1.65%,346.35,334.84,543400,2022-11-11
ITW,"Illinois Tool Works Inc",226.43,2.18,+0.97%,227.46,223.6567,841100,2022-11-11
IVZ,"Invesco Plc",19.77,1.02,+5.44%,20.01,18.85,11229100,2022-11-11
J,"Jacobs Engineering Group Inc",125.72,0.010000000000005,+0.01%,127.3,124.895,636400,2022-11-11
JBHT,"J B Hunt Transport",185.4,2.93,+1.61%,189.21,183.6,991000,2022-11-11
JCI,"Johnson Controls Intl",66.39,-0.27,-0.41%,67.61,66.2,4611300,2022-11-11
JKHY,"Jack Henry & Assoc",174.49,-1.26,-0.72%,177.86,172.65,713100,2022-11-11
JNJ,"Johnson & Johnson",169.25,-5.22,-2.99%,173.11,166.82,11074600,2022-11-11
JNPR,"Juniper Networks",30.5,-0.010000000000002,-0.03%,30.66,30.19,2184200,2022-11-11
JPM,"JP Morgan Chase & Company",135.3,0.22,+0.16%,136.17,133.7805,10704600,2022-11-11
K,"Kellogg Company",68.98,-2.04,-2.87%,70.65,68.01,4258900,2022-11-11
KDP,"Keurig Dr Pepper Inc",37.34,-0.6,-1.58%,38.11,36.88,7058600,2022-11-11
KEY,Keycorp,19.83,0.38,+1.95%,20.035,19.52,12219800,2022-11-11
KEYS,"Keysight Technologies Inc",172.18,0.47,+0.27%,172.89,170.1725,1018300,2022-11-11
KHC,"Kraft Heinz Company",36.99,-0.88,-2.32%,37.78,36.03,8622500,2022-11-11
KIM,"Kimco Realty Corp",22.18,-0.13,-0.58%,22.54,22.05,3619700,2022-11-11
KLAC,"K L A-Tencor Corp",380.21,11.96,+3.25%,382.94,366.15,1665300,2022-11-11
KMB,"Kimberly-Clark Corp",127.45,-0.33,-0.26%,128.02,124.22,1633000,2022-11-11
KMI,"Kinder Morgan",18.69,0.49,+2.69%,18.79,18.31,17923000,2022-11-11
KMX,"Carmax Inc",74.58,3.93,+5.56%,75.93,70.3563,2294700,2022-11-11
KO,"Coca-Cola Company",61.32,0.44,+0.72%,61.45,60.21,18972000,2022-11-11
KR,"Kroger Company",47.1,-1.01,-2.10%,48.15,45.91,8480600,2022-11-11
L,"Loews Corp",55.97,-0.62,-1.10%,57.13,55.72,659100,2022-11-11
LDOS,"Leidos Holdings Inc",103.38,-3.85,-3.59%,107.29,103.16,1419400,2022-11-11
LEN,"Lennar Corp",88.03,-0.37,-0.42%,89.09,87.56,2617700,2022-11-11
LH,"Laboratory Corp of America Holdings",248.97,5.9,+2.43%,250.52,242.04,948300,2022-11-11
LHX,"L3Harris Technologies Inc",224.75,-14.59,-6.10%,232.38,220.775,3025300,2022-11-11
LIN,"Linde Plc",330.22,1.85,+0.56%,334.26,329.49,2133700,2022-11-11
LKQ,"LKQ Corp",54.29,0.17,+0.31%,54.77,53.93,1242600,2022-11-11
LLY,"Eli Lilly and Company",352.3,-16.42,-4.45%,367.83,344.52,6646200,2022-11-11
LMT,"Lockheed Martin Corp",463.86,-26.91,-5.48%,483.83,462.61,3061800,2022-11-11
LNC,"Lincoln National Corp",35.24,0.61,+1.76%,35.86,34.71,2040300,2022-11-11
LNT,"Alliant Energy Corp",53.93,-1.59,-2.86%,55.41,53.84,2150700,2022-11-11
LOW,"Lowe's Companies",209.02,4.7,+2.30%,211.26,204.51,4272400,2022-11-11
LRCX,"Lam Research Corp",500.82,15.41,+3.17%,504.55,480.16,2608000,2022-11-11
LUMN,Centurylink,6.34,-0.11,-1.71%,6.5,6.23,28770000,2022-11-11
LUV,"Southwest Airlines Company",38.36,-0.46,-1.18%,39.26,38.31,8221900,2022-11-11
LVS,"Las Vegas Sands",43.32,2.27,+5.53%,43.87,41.91,10637400,2022-11-11
LW,"Lamb Weston Holdings Inc",81.84,-2.79,-3.30%,84.51,79.92,2899700,2022-11-11
